rabbitmq-1  | 2026-07-13 16:50:37.061619+08:00 [notice] <0.44.0> Application syslog exited with reason: stopped
rabbitmq-1  | 2026-07-13 16:50:37.070748+08:00 [notice] <0.254.0> Logging: switching to configured handler(s); following messages may not be visible in this log output
rabbitmq-1  | [38;5;87m2026-07-13 16:50:37.071333+08:00 [notice] <0.254.0> Logging: configured log handlers are now ACTIVE[0m
rabbitmq-1  | 2026-07-13 16:50:37.085358+08:00 [info] <0.254.0> ra: starting system quorum_queues[0m
rabbitmq-1  | 2026-07-13 16:50:37.085467+08:00 [info] <0.254.0> starting Ra system: quorum_queues in directory: /var/lib/rabbitmq/mnesia/rabbit@e874f36c67c1/quorum/rabbit@e874f36c67c1[0m
rabbitmq-1  | 2026-07-13 16:50:37.211074+08:00 [info] <0.270.0> ra system 'quorum_queues' running pre init for 0 registered servers[0m
rabbitmq-1  | 2026-07-13 16:50:37.225501+08:00 [info] <0.271.0> ra: meta data store initialised for system quorum_queues. 0 record(s) recovered[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:50:37.253124+08:00 [notice] <0.276.0> WAL: ra_log_wal init, open tbls: ra_log_open_mem_tables, closed tbls: ra_log_closed_mem_tables[0m
rabbitmq-1  | 2026-07-13 16:50:37.293083+08:00 [info] <0.254.0> ra: starting system coordination[0m
rabbitmq-1  | 2026-07-13 16:50:37.293161+08:00 [info] <0.254.0> starting Ra system: coordination in directory: /var/lib/rabbitmq/mnesia/rabbit@e874f36c67c1/coordination/rabbit@e874f36c67c1[0m
rabbitmq-1  | 2026-07-13 16:50:37.295364+08:00 [info] <0.284.0> ra system 'coordination' running pre init for 0 registered servers[0m
rabbitmq-1  | 2026-07-13 16:50:37.296241+08:00 [info] <0.285.0> ra: meta data store initialised for system coordination. 0 record(s) recovered[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:50:37.296391+08:00 [notice] <0.290.0> WAL: ra_coordination_log_wal init, open tbls: ra_coordination_log_open_mem_tables, closed tbls: ra_coordination_log_closed_mem_tables[0m
rabbitmq-1  | 2026-07-13 16:50:37.306789+08:00 [info] <0.254.0> ra: starting system coordination[0m
rabbitmq-1  | 2026-07-13 16:50:37.306848+08:00 [info] <0.254.0> starting Ra system: coordination in directory: /var/lib/rabbitmq/mnesia/rabbit@e874f36c67c1/coordination/rabbit@e874f36c67c1[0m
rabbitmq-1  | 2026-07-13 16:50:37.494834+08:00 [info] <0.254.0> Waiting for Khepri leader for 30000 ms, 9 retries left[0m
rabbitmq-1  | [38;5;87m2026-07-13 16:50:37.524371+08:00 [notice] <0.294.0> RabbitMQ metadata store: candidate -> leader in term: 1 machine version: 1[0m
rabbitmq-1  | 2026-07-13 16:50:37.533584+08:00 [info] <0.254.0> Khepri leader elected[0m
rabbitmq-1  | 2026-07-13 16:50:37.533644+08:00 [info] <0.254.0> Waiting for Khepri projections for 30000 ms, 9 retries left[0m
rabbitmq-1  | 2026-07-13 16:50:38.039005+08:00 [info] <0.254.0> [0m
rabbitmq-1  | 2026-07-13 16:50:38.039005+08:00 [info] <0.254.0>  Starting RabbitMQ 3.13.7 on Erlang 26.2.5.16 [jit][0m
rabbitmq-1  | 2026-07-13 16:50:38.039005+08:00 [info] <0.254.0>  Copyright (c) 2007-2024 Broadcom Inc and/or its subsidiaries[0m
rabbitmq-1  | 2026-07-13 16:50:38.039005+08:00 [info] <0.254.0>  Licensed under the MPL 2.0. Website: https://rabbitmq.com[0m
rabbitmq-1  |
rabbitmq-1  |   ##  ##      RabbitMQ 3.13.7
rabbitmq-1  |   ##  ##
rabbitmq-1  |   ##########  Copyright (c) 2007-2024 Broadcom Inc and/or its subsidiaries
rabbitmq-1  |   ######  ##
rabbitmq-1  |   ##########  Licensed under the MPL 2.0. Website: https://rabbitmq.com
rabbitmq-1  |
rabbitmq-1  |   Erlang:      26.2.5.16 [jit]
